<PAD>	1000000000
<UNK>	1000000000
<S>	1000000000
</S>	1000000000
的	422524
和	138828
在	95677
一	51742
了	41155
是	38979
对	28525
个	27872
将	27823
我们	27076
这	25616
国家	24542
委员会	23332
为	23246
联合国	22797
国际	22338
并	22219
会议	21038
其	20425
发展	18667
政府	18626
这些	18366
与	17993
中	17312
提供	17090
进行	15996
以	15840
问题	15623
组织	15303
所	14840
社会	14782
关于	14477
有	14391
该	13991
方案	13874
方面	13576
到	13474
有关	13331
或	13025
地	12851
执行	12754
也	12680
其他	12656
经济	12377
以及	12266
报告	12011
行动	12006
应	11920
和平	11857
向	11628
决议	11587
通过	10971
包括	10957
使	10862
机构	10833
我	10833
它	10632
已	10590
工作	10553
而	10551
所有	10450
必须	10400
就	10177
大会	10060
各	10009
区域	9993
1994年	9749
号	9714
秘书长	9566
情况	9515
还	9393
提出	9389
需要	9367
上	9216
活动	8930
人	8826
1993年	8818
项目	8789
采取	8764
代表	8750
他们	8675
项	8533
于	8307
这种	8306
两	8184
继续	8153
特别	8108
可	8067
他	8038
新	7778
同	7645
妇女	7575
作出	7552
没有	7517
被	7474
及	7390
都	7344
根据	7337
会	7262
各国	7259
本	7240
可以	7224
合作	7161
由	7067
从	7066
非	7034
内	7020
技术	6950
代表团	6941
不	6903
重要	6780
决定	6775
下	6729
已经	6590
的.	6522
一些	6507
注意	6499
这个	6485
促进	6434
可能	6418
建立	6411
但	6252
之间	6182
任何	6179
建议	6178
名	6157
管理	6047
世界	5987
要求	5986
主要	5982
加强	5887
解决	5873
作为	5863
人口	5789
人员	5777
支持	5762
安全理事会	5745
目前	5704
它们	5702
来	5660
时	5590
国	5534
人民	5481
环境	5475
人权	5457
安全	5419
由于	5387
主席	5376
资源	5352
至	5312
努力	5259
部队	5243
因为	5222
维持	5212
得到	5177
规定	5071
协调	5065
公约	5062
援助	5051
先生	5025
给	5018
以便	4972
审议	4903
领域	4887
政治	4860
举行	4845
有效	4795
我国	4790
次	4768
因此,	4759
许多	4759
处	4744
地区	4744
正在	4738
认为	4725
系统	4703
表示	4681
政策	4679
问题.	4676
