<PAD>	1000000000
<UNK>	1000000000
<S>	1000000000
</S>	1000000000
the	513932
of	328288
and	233613
to	198350
in	150532
a	81014
for	78933
that	66950
on	60079
The	56840
be	46179
is	44533
by	42752
with	38654
as	37207
its	29895
United	26776
at	26235
are	25469
was	25313
from	23500
this	23359
have	22983
has	22400
which	22182
Nations	20918
an	20198
will	19175
In	18959
their	18733
been	18716
international	18280
it	18146
should	17665
not	16926
all	16100
or	15601
also	15334
would	14086
were	13994
had	13115
other	12650
Committee	11569
States	11022
Council	10844
It	10635
under	10589
development	10508
countries	10495
resolution	10213
we	9931
such	9896
I	8865
General	8827
made	8796
report	8449
our	8393
We	8317
more	8265
national	8236
those	8236
support	7994
between	7949
new	7713
activities	7595
Assembly	7575
economic	7527
these	7385
human	7081
programme	7010
Government	6657
Security	6641
Secretary-General	6626
cooperation	6498
into	6478
information	6438
This	6360
must	6242
they	6216
work	6150
including	6142
through	6105
efforts	6001
assistance	5971
per	5927
regional	5887
one	5654
Mr.	5650
organizations	5616
implementation	5581
some	5545
number	5510
peace	5498
political	5482
can	5481
social	5442
his	5409
but	5339
any	5325
draft	5295
only	5271
could	5270
two	5252
rights	5230
Conference	5207
A	5186
developing	5169
resources	5132
Commission	5109
need	5095
there	5043
International	4970
out	4962
well	4946
no	4943
further	4783
within	4750
programmes	4712
important	4683
At	4596
against	4537
As	4515
provide	4510
being	4499
members	4487
most	4482
during	4419
measures	4415
many	4409
than	4395
provided	4395
may	4378
order	4357
Special	4330
military	4281
country	4266
financial	4219
women	4187
paragraph	4172
-	4165
take	4157
who	4139
process	4116
situation	4106
system	4100
role	4079
both	4058
people	4048
community	4023
use	3935
delegation	3933
staff	3915
taken	3897
over	3865
shall	3843
so	3819
continue	3800
1993	3782
Republic	3764
humanitarian	3759
1994,	3715
ensure	3710
now	3671
my	3664
areas	3664
first	3658
about	3605
security	3600
issues	3578
adopted	3563
held	3545
particularly	3533
December	3529
period	3514
session	3487
training	3476
technical	3474
action	3469
1993,	3445
make	3415
world	3403
1994	3396
Development	3381
population	3368
Member	3362
non-governmental	3343
following	3341
